ORDEREXTERNALID,TASK_INSTANCE_ID,TASK_NAME,Tasks,STATUS,CREATED_DTTM,PRODUCTSPEC,SWIFT STATUS,Task Status changed to,Read Swift status
552913227,AP-EXT-552913227-4491709-MON-1-0-1,Delete XVC Service SL,Delete XVC Service SL,Failed,24-Oct-22,E-Line,Closed,Completed,Cancelled
552845479,AP-EXT-552845479-4419249-MON-1-0-0,Delete xVC SL,Delete xVC SL,In-Progress,8-Sep-22,E-Line,Closed,Completed,Cancelled
552888618,AP-EXT-552888618-4463661-MON-1-0-0,Delete xVC SL,Delete xVC SL,Create,21-Oct-22,E-Line,Closed,Completed,Cancelled
552907775,AP-EXT-552907775-4481130-MON-1-0-0,Delete xVC SL,Delete xVC SL,In-Progress,11-Oct-22,E-Access,Closed,Completed,Cancelled
552910524,AP-EXT-552910524-4483709-MON-1-0-0,Delete xVC SL,Delete xVC SL,In-Progress,11-Oct-22,E-Access,Closed,Completed,Cancelled
552913227,AP-EXT-552913227-4491709-MON-1-0-0,Delete xVC SL,Delete xVC SL,In-Progress,24-Oct-22,E-Line,Closed,Completed,Cancelled
552845479,AP-EXT-552845479-4419249-MON-1-0-0-1001,Delete_xVCService_ASRI_TL,Delete_xVCService_ASRI_TL,In-Progress,8-Sep-22,E-Line,Closed,Completed,Cancelled
552888618,AP-EXT-552888618-4463661-MON-1-0-0-1001,Delete_xVCService_ASRI_TL,Delete_xVCService_ASRI_TL,In-Progress,21-Oct-22,E-Line,Closed,Completed,Cancelled
552907775,AP-EXT-552907775-4481130-MON-1-0-0-1001,Delete_xVCService_ASRI_TL,Delete_xVCService_ASRI_TL,In-Progress,11-Oct-22,E-Access,Closed,Completed,Cancelled
552910524,AP-EXT-552910524-4483709-MON-1-0-0-1001,Delete_xVCService_ASRI_TL,Delete_xVCService_ASRI_TL,In-Progress,11-Oct-22,E-Access,Closed,Completed,Cancelled
552913227,AP-EXT-552913227-4491709-MON-1-0-0-1001,Delete_xVCService_ASRI_TL,Delete_xVCService_ASRI_TL,In-Progress,24-Oct-22,E-Line,Closed,Completed,Cancelled
552576084,AP-EXT-552576084-4085214-MON-1-0-1-DELETE-UNI-1,DELETE-UNI-1,DELETE-UNI-1,In-Progress,5-Sep-22,E-Line,Closed,Completed,Cancelled
552708185,AP-EXT-552708185-4289184-MON-3-0-1-DELETE-UNI-1,DELETE-UNI-1,DELETE-UNI-1,In-Progress,2-Sep-22,INTERNET,Closed,Completed,Cancelled
552920944,AP-EXT-552920944-4495383-MON-1-0-1-DELETE-UNI-1,DELETE-UNI-1,DELETE-UNI-1,Failed,13-Oct-22,E-Line,Closed,Completed,Cancelled
552730567,AP-EXT-552730567-4288886-MON-1-1-1001-xVC-343283615-1-1-CREATE-XVC-SL-1-FIND-OLINE-2-1,Find Oline Path ASRI,Find Oline Path ASRI,In-Progress,2-Sep-22,E-Access,Closed,Completed,Cancelled
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-FIND-OLINE-1,Find Oline Path ASRI,Find Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-FIND-OLINE-1,Find Oline Path ASRI,Find Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-FIND-OLINE-1,Find Oline Path ASRI,Find Oline Path ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552797237,AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-GATHER-ELYNK-OLINE-SL-1-1-FIND-OLINE-1-1,Find Oline Path ASRI,Find Oline Path ASRI,Create,2-Sep-22,E-Line,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1-8,Get Device from ASRI,Get Device from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-DIA-1-6,Get Device from ASRI,Get Device from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-8,Get Device from ASRI,Get Device from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-6,Get Device from ASRI,Get Device from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552797237,AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-1-1-3,Get Device from ASRI,Get Device from ASRI,In-Progress,2-Sep-22,E-Line,Closed,Completed,Closed
552797237,AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-2-1-3,Get Device from ASRI,Get Device from ASRI,In-Progress,2-Sep-22,E-Line,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-8,Get Device from ASRI,Get Device from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552506570,AP-EXT-552506570-3990777-MON-1-0-1-DELETE-OLINE-2-1-2,Get Oline from ASRI,Get Oline from ASRI,In-Progress,13-Sep-22,E-Line,Closed,Completed,Closed
