"ORDEREXTERNALID","TASK_INSTANCE_ID","swiftStatusInSheet","swiftStatusCurrent"
"552576084","AP-EXT-552576084-4085214-MON-1-0-1-DELETE-UNI-1-5","Closed","Closed"
"552907775","AP-EXT-552907775-4481130-MON-1-0-1-DELETE-XVC-TL-1","Closed","Closed"
"552886855","AP-EXT-552886855-4462323-MON-1-0-1-DELETE-UNI-1-5","Closed","Closed"
"552808644","AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1","Closed","Closed"
"552886855","AP-EXT-552886855-4462323-MON-1-0-1-DELETE-UNI-1","Closed","Closed"
"552808644","AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1","Closed","Closed"
"552913227","AP-EXT-552913227-4491709-MON-1-0-0","Closed","Closed"
"552596169","AP-EXT-552596169-4151905-MON-1-0-1001-xVC-342321248-1-1","Closed","Closed"
"552708185","AP-EXT-552708185-4289184-MON-3-0-1-DELETE-UNI-1-5","Closed","Closed"
"552811381","AP-EXT-552811381-4398703-MON-1-0-1001-UNI-343235984-1-CREATE-UNI-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-FIND-OLINE-1","Closed","Closed"
"552886855","AP-EXT-552886855-4462323-MON-1-0-1","Closed","Closed"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-UNI-343510565-1-CREATE-UNI-1","Closed","Closed"
"552808644","AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1-DELETE-OLINE-6-1","Closed","Closed"
"552907775","AP-EXT-552907775-4481130-MON-1-0-1","Closed","Closed"
"552907775","AP-EXT-552907775-4481130-MON-1-0-0-1001","Closed","Closed"
"552730567","AP-EXT-552730567-4288886-MON-1-1-1001-xVC-343283615-1-1-CREATE-XVC-SL-1-FIND-OLINE-2-1","Closed","Closed"
"552888618","AP-EXT-552888618-4463661-MON-1-0-0","Closed","Closed"
"552838423","AP-EXT-552838423-4419958-MON-1-0-DIA-343708635-1-CREATE-OLINE-1","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-DIA-1-6","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1-8","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-3","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-HEADLESS-DIA-1-4","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-8","Closed","Closed"
"552888618","AP-EXT-552888618-4463661-MON-1-0-0-1001","Closed","Closed"
"552506570","AP-EXT-552506570-3990777-MON-1-0-1-DELETE-OLINE-2-1-2","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-FIND-OLINE-1-2","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-2","Closed","Closed"
"552854931","AP-EXT-552854931-4430088-MON-1-0-1001-xVC-343795691-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-2-1-0219332b-b2b1-44ff-a095-b7eb36a88c92","Closed","Closed"
"552913227","AP-EXT-552913227-4491709-MON-1-0-0-1001","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1-2","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-HEADLESS-DIA-1-2","Closed","Closed"
"552845479","AP-EXT-552845479-4419249-MON-1-0-0-1001","Closed","Closed"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-GATHER-ELYNK-OLINE-SL-1-1-FIND-OLINE-1-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-2","Closed","Closed"
"552727051","AP-EXT-552727051-4325042-MON-1-0-DIA-343221626-1-CREATE-HEADLESS-DIA-1-2","Closed","Closed"
"552543195","AP-EXT-552543195-4036682-MON-1-0-1-DELETE-OLINE-2-1","Closed","Closed"
"552585694","AP-EXT-552585694-4101091-MON-4-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552794012","AP-EXT-552794012-4390874-MON-1-0-1001-UNI-343530165-1-CREATE-UNI-1-e7949bcb-bc63-409c-b51c-8ad2bd03a7fd","Closed","Closed"
"552843643","AP-EXT-552843643-4432731-MON-1-0-343746514-1-10009-100091","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-11","Closed","Closed"
"552853631","AP-EXT-552853631-4430502-MON-1-0-1001-xVC-342605846-1-1","Closed","Closed"
"552770224","AP-EXT-552770224-4376006-MON-1-0-1001-NTA-343161787-1-10009-100091","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-11","Closed","Closed"
"552910524","AP-EXT-552910524-4483709-MON-1-0-0","Closed","Closed"
"552411380","AP-EXT-552411380-3886456-MON-2-0-1","Cancelled","Cancelled"
"552749394","AP-EXT-552749394-4315190-MON-2-0-1-DELETE-XVC-TL-1-8","Cancelled","Cancelled"
"552792874","AP-EXT-552792874-4360918-MON-3-1-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552585694","AP-EXT-552585694-4101091-MON-4-0-1-DELETE-XVC-TL-1-8","Cancelled","Cancelled"
"552902379","AP-EXT-552902379-4478207-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552749394","AP-EXT-552749394-4315190-MON-2-0-1","Cancelled","Cancelled"
"552585694","AP-EXT-552585694-4101091-MON-4-0-1","Cancelled","Cancelled"
"552858802","AP-EXT-552858802-4437987-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552842139","AP-EXT-552842139-4415091-MON-1-0-1-DELETE-UNI-1","Cancelled","Cancelled"
"552886549","AP-EXT-552886549-4464328-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-HEADLESS-DIA-1-4","Closed","Closed"
"552671612","AP-EXT-552671612-4223921-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552787212","AP-EXT-552787212-4353779-MON-2-0-1","Cancelled","Cancelled"
"552841791","AP-EXT-552841791-4416237-MON-2-0-1","Cancelled","Cancelled"
"552842807","AP-EXT-552842807-4419914-MON-2-0-1","Cancelled","Cancelled"
"552794085","AP-EXT-552794085-4360783-MON-2-0-1","Cancelled","Cancelled"
"552854589","AP-EXT-552854589-4432358-MON-2-0-1","Cancelled","Cancelled"
"552903230","AP-EXT-552903230-4477458-MON-1-0-1","Cancelled","Cancelled"
"552849494","AP-EXT-552849494-4425445-MON-2-0-1","Cancelled","Cancelled"
"552758361","AP-EXT-552758361-4316566-MON-1-0-1001-xVC-343398984-1-1","Closed","Closed"
"552787212","AP-EXT-552787212-4353779-MON-2-0-0","Cancelled","Cancelled"
"552854589","AP-EXT-552854589-4432358-MON-2-0-0","Cancelled","Cancelled"
"552849494","AP-EXT-552849494-4425445-MON-2-0-0","Cancelled","Cancelled"
"552585694","AP-EXT-552585694-4101091-MON-4-0-0","Cancelled","Cancelled"
"552841791","AP-EXT-552841791-4416237-MON-2-0-0-1001","Cancelled","Cancelled"
"552810995","AP-EXT-552810995-4379910-MON-2-0-0","Cancelled","Cancelled"
"552794085","AP-EXT-552794085-4360783-MON-2-0-0-1001","Cancelled","Cancelled"
"552792874","AP-EXT-552792874-4360918-MON-3-1-0","Cancelled","Cancelled"
"552585694","AP-EXT-552585694-4101091-MON-4-0-0-1001","Cancelled","Cancelled"
"552903230","AP-EXT-552903230-4477458-MON-1-0-0","Cancelled","Cancelled"
"552749394","AP-EXT-552749394-4315190-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552902379","AP-EXT-552902379-4478207-MON-2-0-0","Cancelled","Cancelled"
"552671612","AP-EXT-552671612-4223921-MON-2-0-0-1001","Cancelled","Cancelled"
"552854589","AP-EXT-552854589-4432358-MON-2-0-0-1001","Cancelled","Cancelled"
"552798070","AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-FIND-OLINE-1-2","Closed","Closed"
"552902379","AP-EXT-552902379-4478207-MON-2-0-0-1001","Cancelled","Cancelled"
"552411380","AP-EXT-552411380-3886456-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552849494","AP-EXT-552849494-4425445-MON-2-0-0-1001","Cancelled","Cancelled"
"552787212","AP-EXT-552787212-4353779-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552792316","AP-EXT-552792316-4355827-MON-1-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552902379","AP-EXT-552902379-4478207-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552886549","AP-EXT-552886549-4464328-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552903230","AP-EXT-552903230-4477458-MON-1-0-0-1001","Cancelled","Cancelled"
"552849494","AP-EXT-552849494-4425445-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552411380","AP-EXT-552411380-3886456-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552834016","AP-EXT-552834016-4429561-MON-1-0-343539423-1-10009-100091","Closed","Closed"
"552842807","AP-EXT-552842807-4419914-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552794085","AP-EXT-552794085-4360783-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552792316","AP-EXT-552792316-4355827-MON-1-0-1","Cancelled","Cancelled"
"552671612","AP-EXT-552671612-4223921-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552854589","AP-EXT-552854589-4432358-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552845167","AP-EXT-552845167-4420588-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552792316","AP-EXT-552792316-4355827-MON-1-0-0-1001","Cancelled","Cancelled"
"552910524","AP-EXT-552910524-4483709-MON-1-0-1","Closed","Closed"
"552845048","AP-EXT-552845048-4418337-MON-1-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552278173","AP-EXT-552278173-4520344-MON-2-0-0","Cancelled","Cancelled"
"552278173","AP-EXT-552278173-4520344-MON-2-0-0-1001","Cancelled","Cancelled"
"552849493","AP-EXT-552849493-4424012-MON-1-0-0-1001","Cancelled","Cancelled"
"552845048","AP-EXT-552845048-4418337-MON-1-0-0","Cancelled","Cancelled"
"552853983","AP-EXT-552853983-4433320-MON-2-0-DIA-343698486-1-DELETE-DIA-1-13","Cancelled","Cancelled"
"552845085","AP-EXT-552845085-4418503-MON-1-0-0","Cancelled","Cancelled"
"552849493","AP-EXT-552849493-4424012-MON-1-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
